index,speaker,count
145,134001349,27
106,1132842894,27
149,1385338327,27
196,1784612953,27
153,142490997,27
197,1785329822,27
159,1483207948,27
142,132762273,27
161,1506793015,27
222,1936687856,27
179,1630728501,27
220,1908497562,27
175,1609876882,27
1891,engine3_voice5,27
165,1525639750,27
211,1889914753,27
143,133699592,27
195,1780966140,27
207,1863268171,27
123,1230421796,27
139,1314783113,27
119,1224730345,27
109,1153299253,27
2022,lucy,27
116,1202998179,27
2031,sharon,27
136,1306913040,27
832,64da5281,26
511,39543cfd,26
869,692a88e6,26
1713,d90b4138,26
1997,fc94edb0,26
426,30137d34,26
379,28612180,26
1768,df280250,26
758,592391617,26
931,7106d229,26
243,1aed7c6d,25
925,706553514,25
766,5ac04a92,25
1744,dbb40d24,25
1225,99a9b015,25
1151,8fce59ff,25
1770,dfb6450b,25
544,3d53244b,24
1417,ae04cdbe,24
1144,8e05039f,24
381,28e47b1a,24
1912,f17be97f,24
172,15c563d7,24
360,2643992f,24
1038,8012c69d,24
1729,da584bc0,24
1434,audrey,24
1929,f35eedd7,24
1967,f8f60f59,24
624,471a0925,24
1971,f953e1af,24
200,179a61b7,24
942,7211390b,24
930,70a00e98,24
1035,7fd25f7c,24
733,563aa4e6,24
1410,ad63d93c,24
2009,ff21fb59,24
1189,953fe1ad,24
101,10ace7eb,24
1220,9886d8bf,24
1750,dca2797e,24
775,5c8af87a,24
249,1b755c65,24
1668,d197e3ae,24
506,38c388bc,24
1658,charles,24
477,35d1b6ee,24
1829,e82914c0,24
411,2da58b32,24
271,1ecfb537,24
2033,tyler,23
55,099d52ad,23
721,541e4079,23
1707,d8a5ace5,23
244,1aeef15e,23
2021,lisa,23
2017,graham,23
1215,97f4c236,23
160,14872d06,23
185,16db1582,23
1761,de650823,23
1741,db9cd41d,23
1743,dbaf8fc6,23
280,2025799315,23
673,4f781a59,22
353,25132942,22
874,696351228,22
1387,aa62fdad,22
1657,cfde27ba,22
1775,e0322f2c,22
602,4422e51d,22
767,5af0ca83,22
1117,89f3ab7d,22
1976,f9ebdba0,22
1756,dd6c6806,22
1502,b9515bf3,22
1712,d8ee4734,21
575,409c962a,21
1025,7e6bd776,21
1003,7bae88ed,21
581,41474817,21
1405,acde7e73,21
1052,823353e5,21
1828,e805a617,21
1958,f804cbb3,21
841,659b7fae,21
1987,fb24c826,21
1642,cd85758f,21
587,4249c833,21
45,07363607,21
25,0362539c,21
635,48bdc11c,21
1549,c08e5058,20
1078,85b877b5,20
616,45adf84a,20
830,64220627,20
1535,bed06fac,20
1103,88a487ce,20
582,41777abb,20
1128,8b775397,20
1201,96c67073,20
849,66774579,20
914,6f2c6f7e,20
908,6e2ef3d5,20
422,2fa39636,20
1998,fcb25a78,20
2001,fd32732a,20
886,6aafb34f,20
2007,fe5c4a7a,20
881,6a203e0e,20
827,637c702a,20
62,0b40aa8e,20
648,4abb2400,20
371,2796ac50,20
737,56eab10e,20
1269,9f7079fe,20
12,01bb6a2a,20
979,76e53db9,20
1822,e72aa705,20
1453,b25b6065,20
460,33f60c62,20
796,605ed0ff,20
676,4fe01997,20
60,0ac15fe9,20
1826,e7ea8b76,20
1799,e4200516,20
1527,bd8412df,19
865,68effe85,19
735,569455ff,19
35,05739450,19
1650,ceaadb24,19
1265,9f22307d,19
439,31d68957,19
1645,cdbd6969,19
1643,cd8b1781,19
2013,ffbb695d,19
851,66aa0f29,19
844,65d81c54,19
698,51995cea,19
1783,e10e2cbb,19
1865,edc53350,19
1541,bfa63751,19
647,4a803e67,19
1242,9b402bc2,19
584,41dce6f5,19
193,1746d7b6,19
1334,a1a59b72,19
1037,7ff4fc72,19
1975,f9bdf10e,19
1379,a97017df,19
188,171b56dc,19
1466,b46e8153,19
646,4a4e28f1,19
615,459345ea,19
552,3e3fa7fd,19
1473,b5552931,19
1066,840c366d,19
1481,b63fea9e,19
1928,f34e6f44,19
1329,a108341b,19
352,2510c044,19
1686,d53e25ba,19
203,17f0e206,19
1130,8c3c4715,19
1406,acfd3bc3,19
355,2579e514,19
1414,adc216c5,19
1673,d2f4f431,19
740,5705a0f9,18
1026,7e783e3f,18
734,5677ec77,18
1838,e98cb283,18
580,413bcfe1,18
984,7799c9cd,18
990,782c1305,18
989,78102205,18
702,5236848b,18
1949,f618568f,18
512,3983ba0d,18
779,5e033479,18
1945,f5c3de1b,18
792,5ff3f9a1,18
677,50033893,18
559,3efa7ec4,18
1058,82c6d220,18
538,3c6d55b3,18
927,708a9569,18
1142,8dd24423,18
658,4c77947d,18
1143,8dd788d8,18
86,102192fd,18
1167,92037d73,18
882,6a27a9bf,18
1158,90b94017,18
237,1a4259c3,18
1437,b06c19b0,18
1375,a8cf01bc,18
1538,bf70feda,18
404,2c7c33e8,18
1579,c4533c47,18
429,30802c5d,18
150,13d7b8c9,18
395,2b3f509b,18
342,23ad12d8,18
1592,c6389ab0,18
1532,be91a00a,18
1711,d8ed3745,18
263,1d1fe0a0,18
1671,d1d3e64d,18
1374,a8cb6dda,18
416,2e30f9a5,18
1677,d37e4bf1,18
1497,b8872c20,18
1412,ad89eb1e,18
333,2313e093,18
327,2250f5f2,18
1377,a8ee11c7,18
1940,f4cae173,17
27,0397ecda,17
463,340c8b10,17
968,757577790,17
176,161fcca8,17
1923,f2b8fc18,17
53,095847e4,17
1723,d9d6559e,17
187,1706c35f,17
1123,8a56f36e,17
901,6ceeb9aa,17
850,66a412a7,17
1647,ce49cb60,17
1096,88120683,17
59,0ab3b47d,17
1087,86cb59b2,17
649,4abefdf5,17
1365,a709ddd3,17
1060,8335f893,17
642,49f30eed,17
1661,d0858dce,17
464,3411cf4b,17
819,6272b231,17
1765,dedc7fab,17
468,34805883,17
1816,e652590d,17
1815,e6515415,17
739,56f8a100,17
1259,9e075bf1,17
1599,c7124b73,17
760,59c3a7f2,17
1854,eb76bc68,17
710,533c6564,17
762,5a0bc987,17
1596,c6a23ff5,17
491,3777c08e,17
777,5d9bb361,17
778,5de8f2f0,17
1794,e3411931,17
20,02746d24,17
802,6166ae21,17
808,61d3e51e,17
924,7014b07e,16
1903,f00180d0,16
72,0d2bcf9d,16
718,540534542,16
1196,9637f43f,16
1266,9f4098cb,16
910,6e74c582,16
1381,a9abc695,16
1994,fbf3dd31,16
1736,daf230ac,16
940,71e6ab20,16
1395,ab71c9a7,16
1464,b43de700,16
26,037c445a,16
347,24b82192,16
1823,e7334395,16
822,62ff07ef,16
743,57376a4c,16
1533,beb49c22,16
31,042ea76c,16
536,3c1e12cf,16
1224,997867e7,16
1523,bd061bef,16
275,1f653d27,16
1341,a24cf51c,16
1085,867055321,16
1555,c0fb6812,16
1081,863880b7,16
1359,a583c5b0,16
691,50f55535,16
1660,d069e6ff,16
1584,c50225fa,16
505,38c30a4a,16
1461,b41a92a3,15
586,422d3197,15
1385,aa233654,15
262,1cec8d71,15
1411,ad6a46f1,15
442,322245354,15
1623,cb164eea,15
1621,caedb73a,15
625,47565088,15
1863,ed0720f1,15
369,274c008f,15
213,189947376,15
884,6a497f80,15
1557,c120e80e,15
885,6a861f21,15
232,19b05529,15
757,591d32f3,15
889,6add0595,15
560,3efef882,15
1041,8056e897,15
235,19f9c115,15
1809,e5d2e09d,15
1738,db79a764,15
1810,e5dadd24,15
569,40115b19,15
660,4c841771,14
1700,d78858d9,14
33,0474c92a,14
1479,b5d1e505,14
978,76b58705,14
115,11b1df78,14
1842,e9b61425,14
1179,93ec8b84,14
1857,ec545975,14
424,30065f33,14
1904,f06190c1,14
1184,94e6864f,14
1926,f3210686,14
558,3ed3e49a,14
1745,dbb7723a,14
16,022cd682,13
380,28ce0c58,13
573,408de0a4,13
373,27b03931,13
1077,85834399,13
1776,e0344f60,13
1070,8494fba8,13
480,363c6bad,13
1176,92e17cc4,13
417,2e73212b,13
1947,f5e44d34,13
810,6205088b,13
1422,aef8dcf5,13
42,063d48cf,13
943,72198b96,13
1467,b487da60,12
566,3fdafe25,12
975,765ffccb,12
1125,8a744054,12
1268,9f6fbdb4,12
1649,ce9410da,12
18,023a61ad,12
1659,d0426d63,12
438,31d31fa0,12
1401,ac4b3fc3,12
1371,a84dee7b,12
1463,b43c8f2f,12
618,46114b4e,12
1784,e1469561,11
663,4d4e17f5,11
540,3ca784ec,11
1007,7c1d8533,11
926,7081436f,11
259,1c6e5447,11
65,0bd689d7,11
343,24632875,11
1336,a1cff772,11
701,520b2c17,11
619,4620dc14,11
1569,c2bc4489,11
170,15b0c947,11
94,1067240777,11
2,00f0204f,11
1742,db9d52d2,11
245,1afd49bf,11
982,778a4a01,11
190,173ae793,11
1667,d1453a87,11
478,36050ef3,11
562,3f2b358d,11
634,48a9f771,11
201,17c94b23,11
2004,fde2dee7,11
206,1851e33b,11
916,6f342826,11
252,1ba20be2,11
805,61a0d340,10
1747,dc6e9c04,10
1598,c6ee87a7,10
752,589084963,10
1613,c9b653a0,10
801,611d2b50,10
1847,eb0676ec,10
795,60472d26,10
804,617de221,10
1610,c90c0105,10
1183,94de6a6a,10
1640,cd68e997,10
738,56eb74ae,10
1804,e54a0f16,10
1602,c79159aa,10
1633,cc6ee39b,10
1803,e53139ad,10
1199,96ab6565,10
1638,ccf418a5,10
782,5e3dde6b,10
1774,e0315cf6,10
1797,e41a903b,10
1585,c518d1b1,10
1198,96a48d28,10
789,5fadb538,10
863,686d030b,10
1563,c22d3f18,10
898,6c968bd9,10
1493,b83c1acf,10
1685,d5356b9a,10
1943,f5733968,10
1490,b7a0754f,10
1489,b7669804,10
1482,b65f6015,10
1389,ab00c4b2,10
1392,ab5ae445,10
1696,d7467392,10
1701,d7a58714,10
947,726382d6,10
955,735845ab,10
1462,b433332a,10
991,7846fd85,10
1970,f9318c93,10
1420,ae927455,10
972,763188c4,10
1449,b1df80c0,10
1433,aff582a1,10
1496,b87bdb22,10
1044,80c45ed6,10
1560,c1e0e8e3,10
2002,fd395b74,10
1173,92a9c5e6,10
1162,918a2473,10
1735,dabf67d9,10
1734,dabd70c2,10
835,65079685,10
1335,a1c63f25,10
1530,be7a5b2d,10
1529,bdee441c,10
1099,8830e17f,10
1652,ced835d3,10
1352,a4c938ce,10
1515,bb31b82b,10
1511,bab36420,10
879,69f609ec,10
1364,a6d586b7,10
1663,d0faf7e4,10
1067,840eab5a,10
1708,d8c314c0,10
1369,a7dd45cf,10
1969,f92e49f3,10
0,004ae714,10
378,28497c5b,10
258,1c45ceb2,10
382,28ed6bc9,10
361,264f471d,10
122,122c5aa7,10
551,3e31dffe,10
537,3c257192,10
640,4954abe8,10
441,3209ec42,10
348,24befdb3,10
448,327289eb,10
324,21e8c417,10
476,35c8fa78,10
229,1993db46,10
620,462e1919,10
247,1b4c9b89,10
526,3ab9ba07,10
514,39a12648,10
597,439c84f4,10
496,37d38e44,10
497,37dca74f,10
14,01d22d03,9
1740,db8a3397,9
1328,a0f93943,9
107,11379f4d,9
1049,815f0f03,9
397,2b715941,9
645,4a294341,9
351,25040e85,9
1457,b3327675,9
89,10467b06,9
601,4407ba92,9
1423,af130f12,9
1425,af405b69,9
1690,d5c41d6a,9
1027,7e7f0ed6,9
960,73f0c1f7,9
915,6f2f57c1,9
1042,80b8eab4,9
1337,a1dd919f,9
1749,dc7ec25b,9
1831,e8b6f6fe,9
365,26b28ea7,9
1372,a8688b67,9
1789,e20be42a,9
1805,e55a2b20,9
1807,e57d35bc,9
860,6823565f,9
1780,e0a7c5a0,9
669,4f256313,9
877,6982fc2a,9
11,01b4757a,9
1057,82b99576,9
359,25c14394,9
870,6940f7f3,9
1769,df6bd83f,9
1054,825f450d,9
652,4bb1244f,9
1795,e3b64217,9
548,3da7f617,9
788,5f8e50a0,9
1634,cc71bada,9
593,434a267c,9
51,08ab8082,9
293,2112358607,9
768,5b09db89,9
292,210f3aa9,9
1516,bbaa7946,9
1148,8f0d3c27,9
1204,96d5276f,9
944,721f767c,9
1603,c7aa72e6,9
488,370844f7,9
253,1bb574f9,9
1154,902258bb,9
1995,fc2411fe,9
40,060cd039,9
753,589bce2c,9
607,44715c1c,9
517,39c13eed,9
2008,feb1d305,9
623,46a153d8,9
614,45864319,9
919,6f5eea74,9
1937,f4504600,9
1200,96c66ab7,9
1941,f5496439,9
1257,9dc1889e,9
1134,8c7f81df,9
1064,83957201,8
1589,c5c60d8d,8
993,78622c2b,8
1458,b36c27c2,8
267,1df99a8a,8
1416,adec6a94,8
859,67fcdb05,8
858,67c7fecb,8
266,1df483c0,8
330,2296b1af,8
1539,bf8d5617,8
1014,7cf14c54,8
1484,b6ebe225,8
902,6cf5459b,8
633,48a8a69d,8
1732,da76aa58,8
880,6a014b29,8
310,21307344,8
1043,80c17118,8
922,6f9088d7,8
928,708b8d51,8
1727,da2c5f1b,8
1485,b7016c27,8
239,1a673010,8
610,44bc77f7,8
1619,cab100c9,8
893,6b889021,8
1570,c2d15ea5,8
1012,7cb5c0b7,8
1403,ac7840d8,8
1607,c8771f88,8
1542,bfaf2000,8
257,1c3f4fac,8
1267,9f63152b,8
406,2cec1d47,8
76,0e5193e6,8
447,325a0c39,8
69,0c40e715,8
1916,f1b35ace,8
798,6078eb0d,8
1124,8a5acefd,8
793,6021f08b,8
64,0b77ee66,8
1262,9e46cfa1,8
1138,8d8d9855,8
1946,f5d09ebd,8
1948,f5e5e8b0,8
1962,f852895b,8
1246,9bea2ac7,8
1141,8dc26a15,8
521,3a33d3a4,8
1235,9a8d8d34,8
1979,fa44fcf5,8
43,06a79a03,8
715,539069251,8
1207,9735764a,8
717,53fd1780,8
1174,92b0a735,8
102,10c6d873,8
1565,c24d96eb,8
1363,a60a09cf,8
1851,eb609143,8
1841,e9a76b2f,8
1802,e4b02540,8
1343,a2fefcb4,8
1514,baf01c1f,7
941,71f6fed7,7
128,126403d4,7
1238,9ab86dd0,7
1615,ca4eeab0,7
1616,ca58a8c6,7
840,656e8bb3,7
1082,86402da1,7
997,7910d292,7
50,0819edb0,7
1965,f88f97a7,7
1500,b8c48ffb,7
1399,aba19127,7
1139,8d9cc260,7
659,4c7c95de,7
1856,ec21c46b,7
129,126a31d2,7
1370,a827e3a1,7
1232,9a4d12fd,7
1168,9229bff9,7
1175,92b2bf59,7
1564,c245d3d7,7
1186,951cac20,7
595,43691f67,7
13,01bcfc0c,7
963,74551073,7
17,023808be,7
666,4e8c5516,7
1256,9db2bfe9,7
270,1e9b215e,7
1545,bfdb9801,7
508,39025b21,7
1209,977a3be4,7
857,67961766,7
992,784e281a,7
996,789e4ee7,7
236,1a073312,7
1796,e3e49931,7
781,5e3b7a84,7
1350,a4b21cbc,7
1722,d9b8fab2,7
1114,89d6d11e,7
80,0f3f64d5,7
434,31267b59,7
1728,da4ef063,7
433,311fde72,7
1715,d926bb17,7
1913,f192e6b4,7
1714,d91a159e,7
421,2f813234,7
873,695c2127,7
1694,d6b155a5,7
1753,dce05676,7
1348,a40c62f1,7
1733,da8fa823,7
1920,f292725f,7
408,2d3c8dcb,7
461,3402e488,7
377,28460a60,7
1478,b5aacf2c,7
169,15574821,7
1483,b665723d,7
1340,a2473d62,7
1327,a0a8d759,7
1939,f4c77b26,7
1261,9e42ae25,7
1724,d9e9f554,7
980,772db621,6
599,43f57297,6
1544,bfbd0e6b,6
564,3f6ba067,6
1208,97417730,6
1214,97f493b9,6
451,32efce64,6
1344,a3255f5c,6
1222,989a2213,6
455,3367cff6,6
553,3e549219,6
1228,99fad6a0,6
1441,b0f24c9b,6
1147,8ed25ef8,6
1080,8625475c,6
1,00b01445,6
1088,86f12ac0,6
1129,8bf6acb9,6
1362,a5d485dc,6
1331,a1533da4,6
1018,7d86b703,6
1566,c256377f,6
612,44dad20e,6
700,51f4d5b0,6
617,460f2bad,6
58,0a9f9af7,6
785,5f1b1051,6
1935,f4386675,6
1625,cb5d2c6e,6
1755,dd086776,6
215,18a8f03f,6
214,18a1aab9,6
814,62581901,6
1866,ee07dcb9,6
1853,eb6dab4a,6
114,11a022ba,6
1830,e855b8f1,6
1817,e6be0830,6
1709,d8c52371,6
1811,e5e54cee,6
1716,d933bf5e,6
848,66041c69,6
1793,e32ff49d,6
890,6af4aa07,6
1787,e1aa22e4,6
864,68dd409e,6
770,5b26c81b,6
1930,f3957e23,6
949,72aa7259,6
1978,fa446c16,6
2015,fffcabd1,6
2003,fda46b78,6
21,02e85b60,6
1990,fb7cfe0e,6
1572,c2e08f08,6
732,5628d7b7,6
746,57b38f48,6
765,5aac2efa,6
608,44b5720d,6
707,52e228e9,6
667,4ec7d027,5
1160,91223b83,5
670,4f2ab70c,5
1844,ea356919,5
2011,ffa76c4a,5
1368,a759efbc,5
1244,9b6c08ba,5
366,26e573a9,5
745,573cdb8a,5
1203,96cd0255,5
134,12c206ea,5
1068,842899160,5
9,016e2c6d,5
1061,834582285,5
1400,abbfc3b4,5
146,135c6841,5
828,63996b7c,5
1217,98447c43,5
1216,982babaf,5
105,11321027,5
1944,f59d0771,5
1239,9acd0254,5
783,5eb5fc74,5
761,59fe87e6,5
1934,f42e234b,5
1980,fa7895de,5
1127,8b39e36f,5
688,50b86bf8,5
1910,f15a354c,5
1906,f0ae7203,5
1981,fac74f6a,5
1989,fb7c9b3b,5
1905,f0ac2522,5
83,0fa1e7a9,5
811,620ff0fa,5
419,2f666bb2,5
1105,88f3719f,5
405,2ce7534c,5
482,364f979f,5
655,4c13fe25,5
501,3824c00e,5
589,4290ca61,5
261,1cc80e39,5
1651,ced4e2a1,5
1582,c4e1f6e0,5
240,1a6eca98,5
1501,b93528e3,5
1008,7c2a3fa4,5
583,418e7158,5
1719,d952a17e,5
637,48e8b82a,5
1455,b2e2773a,5
962,743edf9d,5
891,6b7d5101,5
1513,baeac2ba,5
596,437455be,5
1525,bd11c654,5
289,20d3f11f,5
887,6ac35824,5
1407,ad1429cf,5
1705,d85270c1,5
966,748cb308,5
631,48463cbc,5
1048,813b82a6,5
1617,caa4779f,5
1739,db7c95b0,5
967,74b73f88,5
1460,b3bdded5,5
1567,c25a032b,5
1443,b12bef84,5
358,258f4559,4
1252,9d171fee,4
52,093f65a1,4
1632,cc6bae0d,4
1942,f550b7dc,4
1510,ba770f9b,4
1509,ba676390,4
1520,bc065a17,4
319,2151b09a,4
1925,f2ec8bdc,4
1636,cce17a61,4
473,353b4d33,4
1921,f297e878,4
1918,f21893dc,4
456,3389305e,4
48,07ad9b59,4
1593,c661be6e,4
1521,bc196f81,4
1240,9b027ecf,4
3,012c8314,4
499,37fc5d97,4
15,0227998e,4
495,37bd115d,4
23,030ec18b,4
24,035de8fe,4
268,1e31353f,4
2012,ffb86d3c,4
1551,c0c0d87d,4
1573,c33682f0,4
2006,fe291fa9,4
1575,c38720cb,4
1583,c4f875a9,4
1590,c5e3817f,4
273,1eddce1d,4
1528,bdb90d38,4
46,079d1020,4
1973,f9af0887,4
1606,c86d4fd4,4
1488,b737ee80,4
1669,d1a17cbe,4
450,32a19ecf,4
1909,f104f742,4
1837,e96a5020,4
1835,e9287461,4
384,2903efb3,4
1444,b1426003,4
1366,a74f3917,4
1435,b00dff7e,4
383,28ef2a01,4
1431,afd53389,4
1428,afabfa0e,4
1717,d9462202,4
264,1d919a90,4
1376,a8e25ebb,4
1378,a902ce9b,4
1418,ae71797c,4
1791,e2362167,4
1391,ab353673,4
1790,e2286c18,4
1781,e0ff1e9c,4
1737,db43cd03,4
354,257251e0,4
1779,e07dd7d4,4
1777,e04d7130,4
1771,dff327c5,4
1402,ac652c60,4
1408,ad340ed7,4
1358,a5609cce,4
1356,a518d1cf,4
1451,b1f8326d,4
1472,b544d4fd,4
1908,f0edc767,4
446,32561e9e,4
1653,cee22275,4
440,31e686d2,4
1670,d1a4fb3f,4
1474,b55a09be,4
432,30f31e42,4
430,30a09789,4
92,10627519,4
204,1816b768,4
413,2dce72b3,4
1470,b4bef564,4
1845,ea9f8e11,4
1870,eee9b9e2,4
1678,d3a18257,4
401,2bfe70ef,4
398,2bd2cad5,4
1465,b4604db4,4
1862,ecef25ba,4
112,118261a9,4
113,11860c84,4
1680,d3f22f0e,4
1852,eb67fcbc,4
1346,a3502f15,4
1373,a879a2c3,4
729,5588c7e6,4
1383,a9f38bae,4
711,53458368,4
823,6301e683,4
1053,824e8ce5,4
675,4fd4d073,4
600,43fc47a7,4
1120,8a194ee6,4
965,747e69fd,4
520,3a182c98,4
905,6d2d3b0d,4
829,6414258b,4
522,3a70ab7f,4
531,3b853f44,4
523,3a789a0d,4
524,3a7d8872,4
952,7303215d,4
709,531a5b8a,4
579,413997c1,4
764,5a9f7324,4
906,6d818f6c,4
853,66cff190,4
690,50ed8a7b,4
664,4d9e07cf,4
1136,8d4cdc60,4
937,7195ffa6,4
771,5ba724a7,4
1131,8c4854bc,4
565,3fb8c268,4
791,5fe4a278,4
629,483e2a6f,4
1115,89e59d18,4
568,3ffa3457,4
1059,82e7204d,4
1046,80fe1dc7,4
1172,928cc2ef,4
878,69953f48,4
985,77ac58c5,4
817,62641b88,4
727,553f1a79,4
722,54d9ccb5,4
888,6adb8ad9,4
724,551e42e8,4
650,4b25f620,4
1163,919d3c0e,4
549,3df9a3d4,4
748,57cb3575,4
812,621434009,4
1086,86b89661,4
683,50928b05,4
1083,86478fab,4
815,625fd898,4
1839,e9901cf0,3
250,1b835b87,3
1073,850e2222,3
1040,802314253,3
1072,84bf12ff,3
120,1224e4a7,3
833,64f83f0e,3
1836,e95c70e2,3
199,179847597,3
681,5062859821,3
1834,e900b652,3
1036,7ff085e1,3
121,122704679,3
345,247786014,3
344,24694eb6,3
838,652b3da7,3
1827,e7ebf59c,3
124,1237313710,3
1438,b087aa0e,3
1587,c5570933,3
100,1095491263,3
1687,d55aa56c,3
125,1240446866,3
1442,b1114e4f,3
1430,afbec28d,3
104,11099149,3
1071,84999496,3
1069,8442ea62,3
1597,c6ca5d01,3
1594,c68cf200,3
108,1145359176,3
821,62ef962d,3
679,5006572278,3
1864,ed3c2d05,3
1404,ac899eb7,3
555,3ea77ede,3
948,727092146,3
255,1bc45db9,3
256,1c1060b1,3
356,257e17e0,3
228,199231711,3
818,626e323f,3
1421,aeb99b1c,3
117,1212263007,3
367,26e9ae6b,3
350,24ed94ab,3
251,1b88bf70,3
1846,ead2934a,3
1871,eefd26f3,3
370,279297158,3
374,27b9a84f,3
1843,ea1f888c,3
950,72be9202,3
547,3d9200b9,3
1840,e99d36c8,3
1393,ab5b211a,3
1689,d57febf0,3
1459,b3bb4dd6,3
1445,b15fc37d,3
1446,b16f2d0d,3
290,2104392071,3
1518,bbbf4fbd,3
632,48724485,3
181,1659685150,3
155,145347160,3
1762,de6eb27c,3
154,1430746625,3
1005,7be9f58a,3
152,1415529430,3
296,2114682518,3
1766,df038de4,3
148,1365dd89,3
871,694611773,3
303,2123570996,3
304,2125472936,3
147,1364524938,3
969,757906339,3
156,14587ff0,3
998,794cdfc5,3
974,765587623,3
