,path,fname,noise_type
43,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/353532.wav,353532.wav,drill
44,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/248235.wav,248235.wav,drill
45,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/425995.wav,425995.wav,drill
46,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/377521.wav,377521.wav,drill
47,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/66623.wav,66623.wav,drill
48,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/400805.wav,400805.wav,drill
49,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/386249.wav,386249.wav,drill
50,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/386277.wav,386277.wav,drill
51,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/216816.wav,216816.wav,drill
52,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/211187.wav,211187.wav,drill
53,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/236326.wav,236326.wav,drill
54,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/59594.wav,59594.wav,drill
55,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/254296.wav,254296.wav,drill
56,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/128607.wav,128607.wav,drill
57,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/254303.wav,254303.wav,drill
58,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/45383.wav,45383.wav,drill
59,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/250057.wav,250057.wav,drill
60,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/266626.wav,266626.wav,drill
61,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/95562.wav,95562.wav,drill
62,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/318197.wav,318197.wav,drill
63,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/212849.wav,212849.wav,drill
64,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/71529.wav,71529.wav,drill
65,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/205610.wav,205610.wav,drill
66,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/195063.wav,195063.wav,drill
67,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/141512.wav,141512.wav,drill
68,/user/gdesimone/tesi_-magistrale/fsd/noise_set/drill/386281.wav,386281.wav,drill
69,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/416414.wav,416414.wav,hammer
70,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/363169.wav,363169.wav,hammer
71,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/180137.wav,180137.wav,hammer
72,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/104193.wav,104193.wav,hammer
73,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/210048.wav,210048.wav,hammer
74,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/72143.wav,72143.wav,hammer
75,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/383728.wav,383728.wav,hammer
76,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/394891.wav,394891.wav,hammer
77,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/21751.wav,21751.wav,hammer
78,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/193353.wav,193353.wav,hammer
79,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/160679.wav,160679.wav,hammer
80,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/207758.wav,207758.wav,hammer
81,/user/gdesimone/tesi_-magistrale/fsd/noise_set/hammer/168797.wav,168797.wav,hammer
82,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro/SDMechanicalFactoryassemblyliteINT01-MS.wav,SDMechanicalFactoryassemblyliteINT01-MS.wav,catena di lavoro
83,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro/industrial_machine_noise.wav,industrial_machine_noise.wav,catena di lavoro
84,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro/SDMechanicalFactoryassemblylineliteINT01-MS.wav,SDMechanicalFactoryassemblylineliteINT01-MS.wav,catena di lavoro
85,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro/SDMechanicalFactoryassemblylineliteINT02-MS.wav,SDMechanicalFactoryassemblylineliteINT02-MS.wav,catena di lavoro
86,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro/hi-lo-motor-on-run-off_G1fJV3N__NWM.wav,hi-lo-motor-on-run-off_G1fJV3N__NWM.wav,catena di lavoro
87,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro/assembly-line_M1gVEM4u_NWM.wav,assembly-line_M1gVEM4u_NWM.wav,catena di lavoro
88,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro/rumore-di-sollevamento-verricello-industriale-pesante.wav,rumore-di-sollevamento-verricello-industriale-pesante.wav,catena di lavoro
89,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/grinder  (mola)/hand-grinder-start-run-grind-pause-stop_G1LzB_E__NWM.wav,hand-grinder-start-run-grind-pause-stop_G1LzB_E__NWM.wav,grinder  (mola)
90,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/grinder  (mola)/Air grinder scrape metal surface sparks pneumatic_BLASTWAVEFX_26448.wav,Air grinder scrape metal surface sparks pneumatic_BLASTWAVEFX_26448.wav,grinder  (mola)
91,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/grinder  (mola)/pialla_elettrica.wav,pialla_elettrica.wav,grinder  (mola)
92,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/grinder  (mola)/metal-grinder-on-run-off_MyXT7hV__NWM.wav,metal-grinder-on-run-off_MyXT7hV__NWM.wav,grinder  (mola)
93,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/grinder  (mola)/table-grinder-on-run-off_GyBzNhV__NWM_01.wav,table-grinder-on-run-off_GyBzNhV__NWM_01.wav,grinder  (mola)
94,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/saw/industrial-saw-exhaust-hum-looping_M1uE_rEd_NWM.wav,industrial-saw-exhaust-hum-looping_M1uE_rEd_NWM.wav,saw
95,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/saw/band-saw-cut-grind_zJgCVuEO_NWM.wav,band-saw-cut-grind_zJgCVuEO_NWM.wav,saw
96,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/saw/band-saw-on-run-off_fyUnNu4__NWM.wav,band-saw-on-run-off_fyUnNu4__NWM.wav,saw
97,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/saw/electric-edger-revs-turns-off_fyUZrOEd_NWM.wav,electric-edger-revs-turns-off_fyUZrOEd_NWM.wav,saw
98,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/compressore/408484__falcons-shadow__air-compressor.wav,408484__falcons-shadow__air-compressor.wav,compressore
99,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/compressore/274901__fairhavencollection__air-compressor.wav,274901__fairhavencollection__air-compressor.wav,compressore
100,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/compressore/337446__ivolipa__compressor-motor-in-workshop.wav,337446__ivolipa__compressor-motor-in-workshop.wav,compressore
101,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/compressore/air-compressor-on-run-off_G1HLX3Nu_NWM.wav,air-compressor-on-run-off_G1HLX3Nu_NWM.wav,compressore
102,/user/gdesimone/tesi_-magistrale/fsd/noise_set/generatore/201889__gutek__power-generator.wav,201889__gutek__power-generator.wav,generatore
103,/user/gdesimone/tesi_-magistrale/fsd/noise_set/generatore/406110__yin-yang-jake007__generator.wav,406110__yin-yang-jake007__generator.wav,generatore
104,/user/gdesimone/tesi_-magistrale/fsd/noise_set/generatore/461704__drinkingwindgames__generator-running.wav,461704__drinkingwindgames__generator-running.wav,generatore
105,/user/gdesimone/tesi_-magistrale/fsd/noise_set/generatore/406290__kyles__generator-on-street-corner-gaza-2016.wav,406290__kyles__generator-on-street-corner-gaza-2016.wav,generatore
106,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro robot/verniciatura_car.wav,verniciatura_car.wav,catena di lavoro robot
107,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro robot/car_factory_kia.wav,car_factory_kia.wav,catena di lavoro robot
108,/user/gdesimone/tesi_-magistrale/fsd/noise_set/catena di lavoro robot/robot_builds_cars.wav,robot_builds_cars.wav,catena di lavoro robot
109,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/air-ratchet (cricchetto ad aria)/air-ratchet-tighten-tire_fyVtNuEO_NWM.wav,air-ratchet-tighten-tire_fyVtNuEO_NWM.wav,air-ratchet (cricchetto ad aria)
110,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/air-ratchet (cricchetto ad aria)/air-ratchet-turn-on-run-turn-off_fkcvPjNO_NWM.wav,air-ratchet-turn-on-run-turn-off_fkcvPjNO_NWM.wav,air-ratchet (cricchetto ad aria)
111,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/air-ratchet (cricchetto ad aria)/air-ratchet-buzz-multiple_fyi9E_N__NWM.wav,air-ratchet-buzz-multiple_fyi9E_N__NWM.wav,air-ratchet (cricchetto ad aria)
112,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/saldatrice/robot_saldatori.wav,robot_saldatori.wav,saldatrice
113,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/saldatrice/saldatrice.wav,saldatrice.wav,saldatrice
114,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/saldatrice/spot-welder-spark-buzz_G1LsSuE__NWM.wav,spot-welder-spark-buzz_G1LsSuE__NWM.wav,saldatrice
115,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/raschiatura/scrape-metal-pole-scraping-metal-sheet_MyhGPoVd_NWM_01.wav,scrape-metal-pole-scraping-metal-sheet_MyhGPoVd_NWM_01.wav,raschiatura
116,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/raschiatura/machine-cnc-milling-machine-screech_MkfSNuVO_NWM.wav,machine-cnc-milling-machine-screech_MkfSNuVO_NWM.wav,raschiatura
117,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/tornio/tornio.wav,tornio.wav,tornio
118,/user/gdesimone/tesi_-magistrale/fsd/noise_set/strumenti di lavoro (lavorazione metalli)/tornio/137950__benboncan__wheel-lathe.wav,137950__benboncan__wheel-lathe.wav,tornio
119,/user/gdesimone/tesi_-magistrale/fsd/noise_set/fan/exhaust-fan-on-off_fkcHNdNd_NWM.wav,exhaust-fan-on-off_fkcHNdNd_NWM.wav,fan
120,/user/gdesimone/tesi_-magistrale/fsd/noise_set/fan/fan-paint-booth-on-off_G1X4EOVd_NWM_01.wav,fan-paint-booth-on-off_G1X4EOVd_NWM_01.wav,fan
121,/user/gdesimone/tesi_-magistrale/fsd/noise_set/colpi ripetuti/pile-driver-pound-hard-slow-to-fast_zJ6wSuVu_NWM.wav,pile-driver-pound-hard-slow-to-fast_zJ6wSuVu_NWM.wav,colpi ripetuti
122,/user/gdesimone/tesi_-magistrale/fsd/noise_set/colpi ripetuti/metalurgico.wav,metalurgico.wav,colpi ripetuti
123,/user/gdesimone/tesi_-magistrale/fsd/noise_set/258049.wav,258049.wav,noise_set
124,/user/gdesimone/tesi_-magistrale/fsd/noise_set/sala_macchine.wav,sala_macchine.wav,noise_set
